id,domain,concept,prerequisites,enables,first_mission,minimum_viable_understanding,defer_until_later
K001,Computing,program execution,,variables | files | CLI,M38,"Can explain program execution in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K002,Computing,variables,program execution,strings and text | numbers and strings | lists | dictionaries | conditionals | functions | function,M03,"Can explain variables in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
KTXT,Computing,strings and text,variables,,,"Can explain strings and text in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K003,Computing,numbers and strings,variables,numerical precision | coordinate,,"Can explain numbers and strings in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K004,Computing,lists,variables,loops | array,M03,"Can explain lists in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K005,Computing,dictionaries,variables,,M03,"Can explain dictionaries in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K006,Computing,conditionals,variables,functions,,"Can explain conditionals in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K007,Computing,loops,lists,,M03,"Can explain loops in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K008,Computing,functions,variables | conditionals,modules | exceptions | classes | functions as interfaces | testing | refactoring,M03,"Can explain functions in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K009,Computing,modules,functions,imports | refactoring,,"Can explain modules in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K010,Computing,imports,modules,packages,M03,"Can explain imports in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K011,Computing,packages,imports,virtual environments,,"Can explain packages in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K012,Computing,virtual environments,packages,reproducibility,,"Can explain virtual environments in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K013,Computing,files,program execution,CSV | JSON | Git | document ingestion,,"Can explain files in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K014,Computing,CSV,files,DataFrame,,"Can explain CSV in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K015,Computing,JSON,files,HTTP | APIs | tool schema | agent state,M37,"Can explain JSON in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K016,Computing,exceptions,functions,fallback,,"Can explain exceptions in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K017,Computing,classes,functions,objects | nn.Module,,"Can explain classes in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K018,Computing,objects,classes,,,"Can explain objects in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K019,Computing,CLI,program execution,shell paths,M13,"Can explain CLI in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K020,Computing,shell paths,CLI,,,"Can explain shell paths in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
K021,Computing,Git,files,reproducibility,M32,"Can explain Git in plain language, recognize it in a working system, and use it at the depth required by the current mission.","Formal proofs, specialist variants, and advanced implementation details unless they block the current mission."
